State,County,Year,Poverty Rate
Minnesota,Clearwater County,2012,15.1
Minnesota,Clearwater County,2011,15.1
Minnesota,Clearwater County,2010,15.1
Minnesota,Clearwater County,2009,15.1
Minnesota,Cook County,2018,13.0
Minnesota,Cook County,2017,13.0
Minnesota,Cook County,2016,11.9
Minnesota,Cook County,2015,11.4
Minnesota,Cook County,2014,11.4
Minnesota,Cook County,2013,8.0
Minnesota,Cook County,2012,9.8
Minnesota,Cook County,2011,9.8
Minnesota,Cook County,2010,9.8
Minnesota,Cook County,2009,9.8
Minnesota,Cottonwood County,2018,12.5
Minnesota,Cottonwood County,2017,15.6
Minnesota,Cottonwood County,2016,16.0
Minnesota,Cottonwood County,2015,16.8
Minnesota,Cottonwood County,2014,16.8
Minnesota,Cottonwood County,2013,13.7
Minnesota,Cottonwood County,2012,12.7
Minnesota,Cottonwood County,2011,12.7
Minnesota,Cottonwood County,2010,12.7
Minnesota,Cottonwood County,2009,12.7
Minnesota,Crow Wing County,2018,10.5
Minnesota,Crow Wing County,2017,9.7
Minnesota,Crow Wing County,2016,10.4
Minnesota,Crow Wing County,2015,11.3
Minnesota,Crow Wing County,2014,11.3
Minnesota,Crow Wing County,2013,12.9
Minnesota,Crow Wing County,2012,13.4
Minnesota,Crow Wing County,2011,13.4
Minnesota,Crow Wing County,2010,10.7
Minnesota,Crow Wing County,2009,9.9
Minnesota,Dakota County,2018,6.4
Minnesota,Dakota County,2017,6.9
Minnesota,Dakota County,2016,7.2
Minnesota,Dakota County,2015,7.7
Minnesota,Dakota County,2014,7.7
Minnesota,Dakota County,2013,9.1
Minnesota,Dakota County,2012,6.3
Minnesota,Dakota County,2011,5.6
Minnesota,Dakota County,2010,5.2
Minnesota,Dakota County,2009,4.8
Minnesota,Dodge County,2018,5.5
Minnesota,Dodge County,2017,5.7
Minnesota,Dodge County,2016,6.6
Minnesota,Dodge County,2015,6.7
Minnesota,Dodge County,2014,6.7
Minnesota,Dodge County,2013,7.4
Minnesota,Dodge County,2012,7.3
Minnesota,Dodge County,2011,7.3
Minnesota,Dodge County,2010,7.3
Minnesota,Dodge County,2009,7.3
Minnesota,Douglas County,2018,8.3
Minnesota,Douglas County,2017,8.4
Minnesota,Douglas County,2016,8.7
Minnesota,Douglas County,2015,9.6
Minnesota,Douglas County,2014,9.6
Minnesota,Douglas County,2013,10.3
Minnesota,Douglas County,2012,10.3
Minnesota,Douglas County,2011,10.3
Minnesota,Douglas County,2010,10.3
Minnesota,Douglas County,2009,10.3
Minnesota,Faribault County,2018,11.6
Minnesota,Faribault County,2017,11.5
Minnesota,Faribault County,2016,12.6
Minnesota,Faribault County,2015,13.5
Minnesota,Faribault County,2014,13.5
Minnesota,Faribault County,2013,12.8
Minnesota,Faribault County,2012,12.4
Minnesota,Faribault County,2011,12.4
Minnesota,Faribault County,2010,12.4
Minnesota,Faribault County,2009,12.4
Minnesota,Fillmore County,2018,11.0
Minnesota,Fillmore County,2017,11.3
Minnesota,Fillmore County,2016,12.1
Minnesota,Fillmore County,2015,11.2
Minnesota,Fillmore County,2014,11.2
Minnesota,Fillmore County,2013,12.1
Minnesota,Fillmore County,2012,12.9
Minnesota,Fillmore County,2011,12.9
Minnesota,Fillmore County,2010,12.9
Minnesota,Fillmore County,2009,12.9
Minnesota,Freeborn County,2018,12.3
Minnesota,Freeborn County,2017,11.8
Minnesota,Freeborn County,2016,11.2
Minnesota,Freeborn County,2015,12.1
Minnesota,Freeborn County,2014,12.1
Minnesota,Freeborn County,2013,10.2
Minnesota,Freeborn County,2012,11.8
Minnesota,Freeborn County,2011,11.8
Minnesota,Freeborn County,2010,11.8
